sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
馬祖,連江縣,41,,良好,0.6,0.11,34.8,44.7,12,6,1.8,2.1,0.3,3.8,183,"2023/06/17 19:00:00",0.1,7,9,0,119.93149378,26.15188416,75
金門,金門縣,22,,良好,0.7,0.12,17.6,24,10,7,7,7.7,0.7,0.6,164,"2023/06/17 19:00:00",0.1,5,10,0,118.312256,24.432133,77
馬公,澎湖縣,27,,良好,1.3,0.21,18.1,20.3,18,12,10.5,13.5,2.9,1.4,175,"2023/06/17 19:00:00",0.2,8,17,0,119.566158,23.569031,78
關山,臺東縣,17,,良好,0.3,0.11,12.4,14.3,18,9,2.5,3.5,1,0.5,248,"2023/06/17 19:00:00",0,5,15,0,121.161933,23.045083,80
麥寮,雲林縣,20,,良好,1.9,0.28,19.8,22.1,23,10,9.4,11.6,2.2,1.4,251,"2023/06/17 19:00:00",0.1,5,19,1,120.251825,23.753506,83
富貴角,新北市,38,,良好,1.1,0.2,33.3,41,19,6,4.7,4.8,0.1,0.7,197,"2023/06/17 19:00:00",0.2,8,19,0,121.53656894,25.29681695,84
大城,彰化縣,22,,良好,0.9,0.1,20.5,24.5,14,5,2.5,3.8,1.2,0.3,280,"2023/06/17 19:00:00",0,5,12,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,29,,良好,1.5,0.53,17,20.9,15,10,11.8,13.8,2,0.3,288,"2023/06/17 19:00:00",0.2,8,12,1,120.56373,23.96117,201
高雄(湖內),高雄市,27,,良好,0.8,0.17,13.9,14.9,6,7,4.7,6,1.3,0.3,278,"2023/06/17 19:00:00",0.1,8,15,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,22,,良好,1.4,0.27,11.9,21,15,7,10.9,13.8,2.8,0.3,150,"2023/06/17 19:00:00",0.2,6,19,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,29,,良好,0.5,0.1,19.4,19.4,25,8,1.5,2.6,1,0.3,169,"2023/06/17 19:00:00",0,8,22,0,120.37722,22.35222,204
桃園(三民),桃園市,41,,良好,1.6,0.65,16.2,26.3,38,17,18.6,22.2,3.5,0.2,58,"2023/06/17 19:00:00",0.5,12,29,1,121.31788148,25.00132736,310
新北(樹林),新北市,39,,良好,0,0.33,6.6,14.7,27,12,9.8,14.6,4.8,0,115,"2023/06/17 19:00:00",0.3,11,21,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,25,,良好,0.1,0.1,23.4,24.5,16,8,,,,0.5,97,"2023/06/17 19:00:00",0,7,16,0,120.651472,22.260899,313
